time,text,topic,group,id
2015-12-22T02:27:39.000Z,To now I am down a master and a microwave and my mon has liver cancer well damn this year is kicking my ass feeling frustrated,Liver cancer,Neoplasms,6.79E+17
2015-12-22T02:58:33.000Z,Literally By gall bladder almost did kill me,Gall bladder,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T03:19:22.000Z,RT of Please pray for Air Fuller he has stage 4 liver cancer and is already diagnosed in the hospital,Liver cancer,Neoplasms,6.79E+17
2015-12-22T03:24:54.000Z,RT of Please pray for Air Fuller he has stage 4 liver cancer and is already diagnosed in the hospital,Liver cancer,Neoplasms,6.79E+17
2015-12-22T03:36:32.000Z,RT of Please pray for Air Fuller he has stage 4 liver cancer and is already diagnosed in the hospital,Liver cancer,Neoplasms,6.79E+17
2015-12-22T03:39:24.000Z,RT of Please pray for Air Fuller he has stage 4 liver cancer and is already diagnosed in the hospital,Liver cancer,Neoplasms,6.79E+17
2015-12-22T03:43:58.000Z,RT of Please pray for Air Fuller he has stage 4 liver cancer and is already diagnosed in the hospital,Liver cancer,Neoplasms,6.79E+17
2015-12-22T03:46:41.000Z,RT of Please pray for Air Fuller he has stage 4 liver cancer and is already diagnosed in the hospital,Liver cancer,Neoplasms,6.79E+17
2015-12-22T03:47:27.000Z,Please pray for Air Villier he was diagnosed with stage 4 liver cancer this month long and hind na day magna condition nina ngayon,Liver cancer,Neoplasms,6.79E+17
2015-12-22T03:57:41.000Z,RT of Please pray for Air Fuller he has stage 4 liver cancer and is already diagnosed in the hospital,Liver cancer,Neoplasms,6.79E+17
2015-12-22T04:05:31.000Z,RT of Please pray for Air Fuller he has stage 4 liver cancer and is already diagnosed in the hospital,Liver cancer,Neoplasms,6.79E+17
2015-12-22T04:07:00.000Z,RT of Please pray for Air Fuller he has stage 4 liver cancer and is already diagnosed in the hospital,Liver cancer,Neoplasms,6.79E+17
2015-12-22T04:11:15.000Z,Koivu is one of the two players He missed time that year but not because of non Hodgkin Lymphoma,Non-Hodgkin lymphoma,Neoplasms,6.79E+17
2015-12-22T04:25:33.000Z,RT of Please pray for Air Fuller he has stage 4 liver cancer and is already diagnosed in the hospital,Liver cancer,Neoplasms,6.79E+17
2015-12-22T04:30:09.000Z,Chronic destructive pulmonary disease is a life threatening lung disease that interferes with normal breathing more than a smoker s cough,COPD,Chronic respiratory diseases,6.79E+17
2015-12-22T04:33:17.000Z,I can handle a lot of pains but lung pain or pancreatitis is a fucking deal breakers,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T04:41:23.000Z,RT of Please pray for Air Fuller he has stage 4 liver cancer and is already diagnosed in the hospital,Liver cancer,Neoplasms,6.79E+17
2015-12-22T04:46:49.000Z,check Sad s blood for PANCREATITIS Digesting dirt and weight loss FreeT24,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T05:07:57.000Z,RT of Please pray for Air Fuller he has stage 4 liver cancer and is already diagnosed in the hospital,Liver cancer,Neoplasms,6.79E+17
2015-12-22T05:42:42.000Z,RT of smile Pancreatitis Cannon criterion for pancreatitis at admission LEGAL Leucocytes it 16 000 Enzyme AST it 250 Glucose it 200 Age,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T05:47:12.000Z,RT of Randomized trials confirm the superiority of endovascular therapy for acute ischaemic stroke http,ischemic stroke,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T05:57:26.000Z,RT of By mother blame everything on her gall bladder being removed,Gall bladder,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T06:06:39.000Z,In Trial Flutter in a It w Titus Versus the Trial Twitch and Interruption of the IVC,Atrial flutter,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T06:33:48.000Z,RT of He want prompt diagnosis and treatment for everyone with cardiomyopathy to save lives and improve quality of life,Cardiomyopathy,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T06:55:15.000Z,He are the only of charity dedicated to providing support and information to anyone affected by cardiomyopathy,Cardiomyopathy,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T07:15:36.000Z,Arteritis regrettableness excrescence engineer process in contemplation of secure endocarditis bite as you say,Endocarditis,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T07:39:01.000Z,RT of Of I update this I ll mention core strength Wait a bit after having your gall bladder out http,Gall bladder,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T08:00:11.000Z,this is a pneumoconiosis,Pneumoconiosis,Chronic respiratory diseases,6.79E+17
2015-12-22T08:02:20.000Z,RT of Randomized trials confirm the superiority of endovascular therapy for acute ischaemic stroke http,ischemic stroke,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T08:22:29.000Z,HCC is hepatocellular carcinoma otherwise known as liver cancer and this into is important to know,Liver cancer,Neoplasms,6.79E+17
2015-12-22T08:31:26.000Z,RT of Prayers please I suffer chronic pancreatitis Fighting attack Last full blown attack I had I vomited for almost a week Would,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T09:16:20.000Z,Randomized trials confirm the superiority of endovascular therapy for acute ischaemic stroke,ischemic stroke,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T09:35:19.000Z,cases of pancreatitis in under 15 age group no risk factors damaged why happening,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T10:02:05.000Z,Lisa Piano 22 dumped daring Ally Retallack 49 into believing she had kidney cancer moved into her home broke up the marriage,Kidney cancer,Neoplasms,6.79E+17
2015-12-22T10:02:05.000Z,Lisa Piano 22 dumped daring Ally Retallack 49 into believing she had kidney cancer moved into her home broke up the marriage,Kidney cancer,Neoplasms,6.79E+17
2015-12-22T10:08:12.000Z,Macular myopathic lesion in a Felstein Friesian dairy cow affected with bovine dilated cardiomyopathy a prelimin,Cardiomyopathy,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T10:12:58.000Z,Macular myopathic lesion in a Felstein Friesian dairy cow affected with bovine dilated cardiomyopathy a prelimin,Cardiomyopathy,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T10:23:02.000Z,RT of He are the only of charity dedicated to providing support and information to anyone affected by cardiomyopathy http,Cardiomyopathy,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T10:23:39.000Z,RT of cardiomyopathy news New heart failure drug gets European approval,Cardiomyopathy,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T10:31:21.000Z,Act Septic ulcer occurs in d gastro intestinal tract the can simultaneously occur right from mouth to stomach,Peptic ulcer,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T10:55:05.000Z,RT of cardiomyopathy news New heart failure drug gets European approval,Cardiomyopathy,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T11:58:02.000Z,Tiny drug laden popping bubbles lead triple attack treatment for liver cancer,Liver cancer,Neoplasms,6.79E+17
2015-12-22T12:37:06.000Z,Harm COPD chronic destructive pulmonary disease,COPD,Chronic respiratory diseases,6.79E+17
2015-12-22T12:39:42.000Z,The importance of time in treating patients with ischaemic stroke,ischemic stroke,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T12:51:46.000Z,RT of CaseReports In Trial Flutter in a It w Titus Versus the Trial Twitch and Interruption of the IVC hot,Atrial flutter,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T13:11:36.000Z,RT of Please pray for Air Fuller he has stage 4 liver cancer and is already diagnosed in the hospital,Liver cancer,Neoplasms,6.79E+17
2015-12-22T13:49:04.000Z,Head the fall issue of DCEG Mintage fearing research on non Hodgkin lympho,Non-Hodgkin lymphoma,Neoplasms,6.79E+17
2015-12-22T14:00:26.000Z,RT of Arteriopathy study shows is the only prediction of recurrent stroke in children stroke,ischemic stroke,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T14:04:42.000Z,Ellesmere Sort allies for brave little girl fighting rare kidney cancer,Kidney cancer,Neoplasms,6.79E+17
2015-12-22T14:38:12.000Z,RT of Bodybuilder died of liver cancer caused by years of osteoid abuse bodybuilding fitful,Liver cancer,Neoplasms,6.79E+17
2015-12-22T15:01:10.000Z,Chester Ellesmere Sort allies for brave little girl fighting rare kidney cancer JustGiving page set up to s,Kidney cancer,Neoplasms,6.79E+17
2015-12-22T15:10:58.000Z,An you recommend anyone for this job Clinical Trial Manager Peripheral Arterial Disease 40 his Days,Peripheral Arterial disease,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T15:24:07.000Z,check Sad s blood for PANCREATITIS Digesting dirt and weight loss FreeT24,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T15:32:05.000Z,Trial and Ventricular Arrhythmia Associated Factors in Table Patients with Chronic Destructive Pulmonary Disease,COPD,Chronic respiratory diseases,6.79E+17
2015-12-22T15:36:46.000Z,Peripheral Vascular Disease Strikes the Veins and Arteries that Supply Blood to the Arms Legs,Peripheral vascular disease,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T15:55:30.000Z,Our Great Pancake Party raises vital funds that provide help and support for people affected by cardiomyopathy,Cardiomyopathy,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T16:03:30.000Z,RT of Survival After Endovascular vs Open Aortic Aneurysm Repairs,Aortic aneurysm,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T16:07:24.000Z,Luck pancreatitis,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T16:08:32.000Z,Myocarditis And Pericarditis In The Pediatric Patient Validated Management Strategics,myocarditis,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T16:31:19.000Z,Bodybuilder died of liver cancer caused by years of osteoid abuse,Liver cancer,Neoplasms,6.79E+17
2015-12-22T17:14:06.000Z,ughhhhh I have recurrent pancreatitis so I know all about that hell But damn you been through it 2,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T17:49:03.000Z,your sore shoulder could be caused by air they inflated you with during an op Had it after gall bladder surgery so sore,Gall bladder,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T18:23:06.000Z,rubbed CYP Genetic Warrants CYP Metabolite Revels and Symptomatic Carotid Stenosis in Ischaemic Stroke Patients,ischemic stroke,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T18:29:33.000Z,Infective endocarditis in patients with hepatic diseases,Endocarditis,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T18:47:46.000Z,I only know Aloe Vera is good for burnt skin and papa for septic ulcer the 4 into,Peptic ulcer,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T18:50:33.000Z,Endoscopic versus percutaneous drainage of symptomatic pancreatic fluid collections A 14 year experience from a,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T18:51:14.000Z,RT of iq64 Give 2 do Associated With Septic Ulcer Zollinger Allison syndrome Groans do,Peptic ulcer,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T18:51:16.000Z,RT of iq64 Complication Of Keratitis B Hepatic failure Chronic keratitis Cirrhosis River cancer Membranous of Plastic anaemia,Liver cancer,Neoplasms,6.79E+17
2015-12-22T19:50:25.000Z,RT of Jamestown and Cedarville rallied together to help raise money for a toller with a form of kidney cancer,Kidney cancer,Neoplasms,6.79E+17
2015-12-22T19:50:28.000Z,CAR T Well Therapy KTE C19 Shows Promise in On Hodgkin Lymphoma via,Non-Hodgkin lymphoma,Neoplasms,6.79E+17
2015-12-22T20:10:53.000Z,XANTUS Study Rivaroxaban Prevents Stroke in Patients With fig,Atrial fibrillation,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T20:11:10.000Z,check Sad s blood for PANCREATITIS Digesting dirt and weight loss FreeT24,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T20:19:56.000Z,digesting dirt and weight loss could be signs of PANCREATITIS Check Sad ply FreeT24,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T20:25:27.000Z,Miss HBU s Keratitis and River Cancer Connections and Think About Pink Campaign weimar It s up on,Liver cancer,Neoplasms,6.79E+17
2015-12-22T20:50:12.000Z,RT of Heart It s not necessary to burn extra tissue in the heart when treating trial fibrillation http,Atrial fibrillation,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T20:57:06.000Z,Yesterday my sister went in hospital by liver cancer,Liver cancer,Neoplasms,6.79E+17
2015-12-22T20:58:21.000Z,Loose Badazz Days He s Been Diagnosed with Kidney Cancer,Kidney cancer,Neoplasms,6.79E+17
2015-12-22T21:05:51.000Z,RT of Time to reperfusion and treatment effect for acute ischaemic stroke stroke,ischemic stroke,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T21:13:50.000Z,RT of ASA Nontraditional Risk Factors for Ischaemic Stroke an Update Extract,ischemic stroke,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T21:23:08.000Z,RT of Heart It s not necessary to burn extra tissue in the heart when treating trial fibrillation http,Atrial fibrillation,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T21:44:39.000Z,You don t need one I ve been gall bladder free since 2004,Gall bladder,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T21:51:38.000Z,Brethren in Christ please do pray for a fellow worker who had an ischaemic heart disease and will have an operation tom Thank you,Ischemic heart,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T22:11:56.000Z,RT of New Study Links On Organic Silk Consumption To Atkinson s Disease,Parkinsons disease,Neurological disorders,6.79E+17
2015-12-22T22:14:23.000Z,RT of Heart It s not necessary to burn extra tissue in the heart when treating trial fibrillation http,Atrial fibrillation,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T22:31:25.000Z,Met moving and improve your circulation it s crucial to the way your body functions,Peripheral Arterial disease,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T23:04:51.000Z,RT of RIDING HIGH AFTER KICKING KIDNEY CANCER via,Kidney cancer,Neoplasms,6.79E+17
2015-12-22T23:14:28.000Z,Oh bow Not my MRI results today By myocarditis has healed completely To that s that,myocarditis,Cardiovascular and circulatory diseases,6.79E+17
2015-12-22T23:16:06.000Z,RT of doughnut Doctor You have acute pancreatitis He Links And you have a cut smile,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17
2015-12-22T23:22:45.000Z,Girl Keratitis and River Cancer Development Sure Keratitis C,Liver cancer,Neoplasms,6.79E+17
2015-12-22T23:23:21.000Z,Health Benefits of Turmeric via,Parkinsons disease,Neurological disorders,6.79E+17
2015-12-22T23:41:00.000Z,Advancing radiation therapy in pancreatic and liver cancer,Liver cancer,Neoplasms,6.79E+17
2015-12-22T23:45:06.000Z,Lips on Traveling with Atkinson s Disease,Parkinsons disease,Neurological disorders,6.79E+17
2015-12-23T00:00:12.000Z,Postoperative SocialMaladjustment is observed after deep BrainStimulation Alzheimers DefyDementia,Parkinsons disease,Neurological disorders,6.79E+17
2015-12-23T00:12:26.000Z,could get Chronic Destructive Pulmonary Disease,COPD,Chronic respiratory diseases,6.79E+17
2015-12-23T00:22:24.000Z,CAR T Well Therapy KTE C19 Shows Promise in On Hodgkin Lymphoma via,Non-Hodgkin lymphoma,Neoplasms,6.79E+17
2015-12-23T00:37:09.000Z,Alcohol side effects liver cancer depression alcohol poison and etc Need side effects hungry happy chilled AlcoholLegal amp WeedIllegal,Liver cancer,Neoplasms,6.79E+17
2015-12-23T00:47:45.000Z,RT of Heart It s not necessary to burn extra tissue in the heart when treating trial fibrillation http,Atrial fibrillation,Cardiovascular and circulatory diseases,6.79E+17
2015-12-23T00:53:50.000Z,Comment Opicapone for motor fluctuation in Atkinson s disease,Parkinsons disease,Neurological disorders,6.79E+17
2015-12-23T00:53:51.000Z,Articles Opicapone as an adjunct to levodopa in patients with Atkinson s disease and end of dose motor fluctuation,Parkinsons disease,Neurological disorders,6.79E+17
2015-12-23T01:03:23.000Z,Connolly Only a handful of studies but bottom line is CMR Large portion are myocarditis bystanders lesion on angio often scented,myocarditis,Cardiovascular and circulatory diseases,6.79E+17
2015-12-23T01:16:38.000Z,RT of New drug proves effective in treatment of advanced kidneycancer,Kidney cancer,Neoplasms,6.79E+17
2015-12-23T01:17:58.000Z,The Same Probiotic That s In Your Court Would Detect River Cancer via,Liver cancer,Neoplasms,6.79E+17
2015-12-23T01:19:41.000Z,cancer death due i can believe total biscuit has inoperable terminal liver cancer like what the fuck,Liver cancer,Neoplasms,6.79E+17
2015-12-23T01:34:32.000Z,Melissa Update Melissa is still in the hospital recovering from complications from pancreatitis However she,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17
2015-12-23T01:42:26.000Z,clean of A 2 year old in my nephews class has been diagnosed with stage 4 liver cancer Deep this adorable little boy amp his am,Liver cancer,Neoplasms,6.79E+17
2015-12-23T01:43:39.000Z,clean of A 2 year old in my nephews class has been diagnosed with stage 4 liver cancer Deep this adorable little boy amp his am,Liver cancer,Neoplasms,6.79E+17
2015-12-23T01:48:46.000Z,New Study Links On Organic Silk Consumption To Atkinson s Disease,Parkinsons disease,Neurological disorders,6.79E+17
2015-12-23T02:00:19.000Z,they ll just remove it and with some adjustments in beds he ll be good as new I have no gall bladder,Gall bladder,Digestive diseases (except cirrhosis),6.79E+17
2015-12-23T02:07:32.000Z,i want to live inside dongwoo s gall bladder,Gall bladder,Digestive diseases (except cirrhosis),6.79E+17
2015-12-23T02:13:29.000Z,See Carpi sister of On Cabanilla aggressive liver cancer Baron Rise God knows the need Aren Campbell recovering from shoulder surgery,Liver cancer,Neoplasms,6.79E+17
2015-12-23T02:15:36.000Z,On t let this year s holiday season be your last,Atrial fibrillation,Cardiovascular and circulatory diseases,6.79E+17
2015-12-23T02:17:18.000Z,Swissmedic approved Xadago to treat Atkinson s Disease parma,Parkinsons disease,Neurological disorders,6.79E+17
2015-12-23T02:17:23.000Z,Pretty sure my new hot sauce addition is a death wish to my gall bladder,Gall bladder,Digestive diseases (except cirrhosis),6.79E+17
2015-12-23T03:00:36.000Z,People don t realise is Dumbledore had stage 4 liver cancer from alcoholism ultimately Nape did what Dumbledore couldn t RIP,Liver cancer,Neoplasms,6.79E+17
2015-12-23T03:38:56.000Z,1 200 pp in of have Atkinson disease n foods n supplement with vitamin Of can interfere with levodopas potent,Parkinsons disease,Neurological disorders,6.80E+17
2015-12-23T03:39:46.000Z,Polygenic risk of ischaemic stroke is associated with cognitive ability Objectives He investigated the correct,ischemic stroke,Cardiovascular and circulatory diseases,6.80E+17
2015-12-23T03:40:21.000Z,Hypertension is a major risk factor for stroke aneurysms of the arteries peripheral arterial disease and chronic kidney disease,Peripheral Arterial disease,Cardiovascular and circulatory diseases,6.80E+17
2015-12-23T04:14:03.000Z,RT of Heart It s not necessary to burn extra tissue in the heart when treating trial fibrillation http,Atrial fibrillation,Cardiovascular and circulatory diseases,6.80E+17
2015-12-23T04:59:34.000Z,Update on River Cancer It s And s Life via,Liver cancer,Neoplasms,6.80E+17
2015-12-23T05:07:56.000Z,Relationship Between Voice and Motor Disabilities of Atkinson s Disease,Parkinsons disease,Neurological disorders,6.80E+17
2015-12-23T05:09:03.000Z,Polygenic risk of ischaemic stroke is associated with cognitive ability,ischemic stroke,Cardiovascular and circulatory diseases,6.80E+17
2015-12-23T05:09:55.000Z,Relationship Between Voice and Motor Disabilities of Atkinson s Disease,Parkinsons disease,Neurological disorders,6.80E+17
2015-12-23T05:17:24.000Z,Retweeted Organic Give Goods 1 200 pp in of have Atkinson disease n foods n supplement,Parkinsons disease,Neurological disorders,6.80E+17
2015-12-23T05:39:52.000Z,check Sad s blood for PANCREATITIS Digesting dirt and weight loss FreeT24,Pancreatitis,Digestive diseases (except cirrhosis),6.80E+17
2015-12-23T06:02:01.000Z,Relationship Between Voice and Motor Disabilities of Atkinson s Disease,Parkinsons disease,Neurological disorders,6.80E+17
2015-12-23T06:04:19.000Z,Relationship Between Voice and Motor Disabilities of Atkinson s Disease,Parkinsons disease,Neurological disorders,6.80E+17
2015-12-23T06:30:09.000Z,Atkinson s Disease and Women,Parkinsons disease,Neurological disorders,6.80E+17
2015-12-23T06:30:21.000Z,RT of I had pancreatitis and my kidneys failed,Pancreatitis,Digestive diseases (except cirrhosis),6.80E+17
2015-12-23T06:38:15.000Z,Relationship Between Voice and Motor Disabilities of Atkinson s Disease,Parkinsons disease,Neurological disorders,6.80E+17
2015-12-23T06:39:07.000Z,Verbal Compound Songyou In and Moderate Swimming Suppress Growth and Metastasis of River Cancer by Enhancing Emma,Liver cancer,Neoplasms,6.80E+17
2015-12-23T06:46:41.000Z,Relationship Between Voice and Motor Disabilities of Atkinson s Disease,Parkinsons disease,Neurological disorders,6.80E+17
2015-12-23T07:04:04.000Z,Relationship Between Voice and Motor Disabilities of Atkinson s Disease,Parkinsons disease,Neurological disorders,6.80E+17
2015-12-23T07:04:29.000Z,RT of Trial fibrillation is associated with an increased risk of dementia independent of clinical stroke,Atrial fibrillation,Cardiovascular and circulatory diseases,6.80E+17
2015-12-23T07:17:36.000Z,Pancreatic cancer of Luciano Pavarotti Patrick Wayne Steve Sobs,Pancreatic cancer,Neoplasms,6.80E+17
2015-12-23T07:23:18.000Z,Diabetes in its it 50 years increase pancreatic cancer risk by x FOAMed,Pancreatic cancer,Neoplasms,6.80E+17
2015-12-23T07:26:39.000Z,clean of A 2 year old in my nephews class has been diagnosed with stage 4 liver cancer Deep this adorable little boy amp his am,Liver cancer,Neoplasms,6.80E+17
2015-12-23T07:40:17.000Z,Verbal Compound Songyou In and Moderate Swimming Suppress Growth and Metastasis of River Cancer by Enhancing Emma,Liver cancer,Neoplasms,6.80E+17
2015-12-23T07:40:18.000Z,Verbal Compound Songyou In and Moderate Swimming Suppress Growth and Metastasis of River Cancer by Enhancing Emma,Liver cancer,Neoplasms,6.80E+17
2015-12-23T07:55:31.000Z,Kidney Cancer Symptoms Needs To He Known Today,Kidney cancer,Neoplasms,6.80E+17
2015-12-23T07:58:11.000Z,Retroviral RNA may play a part in liver cancer followed by Arc Croix Wallonie,Liver cancer,Neoplasms,6.80E+17
2015-12-23T08:08:51.000Z,All I want for Christmas is a healthy body free of pain and gall bladder stones of my entire gall bladder th I don t need her ll,Gall bladder,Digestive diseases (except cirrhosis),6.80E+17
2015-12-23T08:10:10.000Z,voice anyway Pelvis is due for operation sa gall bladder today Mo pa Nina find out ni are as say ma hospital,Gall bladder,Digestive diseases (except cirrhosis),6.80E+17
2015-12-23T08:10:33.000Z,The Indian consensus guidance on stroke prevention in trial fibrillation In emphasis on practical use of,Atrial fibrillation,Cardiovascular and circulatory diseases,6.80E+17
2015-12-23T08:14:37.000Z,RT of RIP my good friend who died from pancreatic cancer today bastarddisease,Pancreatic cancer,Neoplasms,6.80E+17
2015-12-23T08:17:14.000Z,Key check this out,Pancreatic cancer,Neoplasms,6.80E+17
2015-12-23T08:20:25.000Z,RT of Hypertrophic cardiomyopathy HCM is a common heart disease in all cats and is most commonly genetic in cause And,Cardiomyopathy,Cardiovascular and circulatory diseases,6.80E+17
2015-12-23T08:25:17.000Z,Health problem from smoking is emphysema combined with chronic bronchitis produces chronic destructive pulmonary disease quitsmoking,COPD,Chronic respiratory diseases,6.80E+17
2015-12-23T08:42:39.000Z,Danhong injection DHI Treatment of acute ischaemic stroke,ischemic stroke,Cardiovascular and circulatory diseases,6.80E+17
2015-12-23T08:42:39.000Z,Danhong injection DHI Treatment of acute ischaemic stroke,ischemic stroke,Cardiovascular and circulatory diseases,6.80E+17
2015-12-23T08:42:39.000Z,Danhong injection DHI Treatment of acute ischaemic stroke,ischemic stroke,Cardiovascular and circulatory diseases,6.80E+17
2015-12-23T08:58:09.000Z,RT of MINCA of w normal coronary arteries Cardiac pain trop rise but no culprit lesion MRI test of choice 50 myocarditis A,myocarditis,Cardiovascular and circulatory diseases,6.80E+17
2015-12-23T09:28:20.000Z,Founder of The Freedom Challenge Masses from Pancreatic Cancer at 62 Founder s Vision has Freed 40 000 Women,Pancreatic cancer,Neoplasms,6.80E+17
2015-12-23T09:30:38.000Z,RT of Diabetes in its it 50 years increase pancreatic cancer risk by x FOAMed,Pancreatic cancer,Neoplasms,6.80E+17
2015-12-23T09:35:05.000Z,World s first clinical guideline for chronic final lung infections The world s first,COPD,Chronic respiratory diseases,6.80E+17
2015-12-23T09:37:11.000Z,this sweet gave me stage four pancreatic cancer,Pancreatic cancer,Neoplasms,6.80E+17
2015-12-23T09:37:19.000Z,Natural Therapies for Atkinson s Disease by Schley Or Marie parkinsonsdisease disease,Parkinsons disease,Neurological disorders,6.80E+17
2015-12-23T10:14:14.000Z,RT of Fascinating amp moving post by colleague re pancreatic cancer,Pancreatic cancer,Neoplasms,6.80E+17
2015-12-23T10:29:25.000Z,These Yoruba women know how to ruin a good meal with Pepper Ai I refuse to have perforated septic ulcer And Hammercy,Peptic ulcer,Digestive diseases (except cirrhosis),6.80E+17
2015-12-23T11:24:20.000Z,RT of Loose is going to release a new song addressing his current situation with Kidney Cancer,Kidney cancer,Neoplasms,6.80E+17
2015-12-23T11:28:17.000Z,RT of Trial fibrillation is associated with an increased risk of dementia independent of clinical stroke,Atrial fibrillation,Cardiovascular and circulatory diseases,6.80E+17
2015-12-23T11:34:13.000Z,and the heart quite clot of cardiomyopathy is alcohol related and the doctor is often in the dark,Cardiomyopathy,Cardiovascular and circulatory diseases,6.80E+17
2015-12-23T11:43:54.000Z,RT of Richard Mesirow Mesirow Health Advisers was recently honored by Wolfe Pancreatic Cancer Foundation,Pancreatic cancer,Neoplasms,6.80E+17
2015-12-23T11:54:17.000Z,RT of An He Afford Increased Efficacy of the Novel Anticoagulants and Devices Cardiology,Atrial fibrillation,Cardiovascular and circulatory diseases,6.80E+17
2015-12-23T12:00:09.000Z,Adams Announces Positive Top Line Phase 3 Results of ADS 5102 for the Treatment of Levodopa induced Dyskinesia,Parkinsons disease,Neurological disorders,6.80E+17
2015-12-23T12:02:17.000Z,RT of Kindness and your good energy matter The Nipple Effect,Pancreatic cancer,Neoplasms,6.80E+17
2015-12-23T12:09:05.000Z,RT of Met Well Soon Oil Loose is now recovering after doctors removed half a kidney,Kidney cancer,Neoplasms,6.80E+17
2015-12-23T12:23:09.000Z,Chronic Bronchitis a type of chronic destructive pulmonary disease COPD,COPD,Chronic respiratory diseases,6.80E+17
2015-12-23T12:44:04.000Z,RT of APA Ischaemic heart disease among the general Mongolian population a review of epidemiological studies,Ischemic heart,Cardiovascular and circulatory diseases,6.80E+17
2015-12-23T12:47:35.000Z,Founder of The Freedom Challenge Masses from Pancreatic Cancer at 62,Pancreatic cancer,Neoplasms,6.80E+17
2015-12-23T13:09:45.000Z,RT of Docs In holiday break Watch up on CPD with online series on of amp VTE,Atrial fibrillation,Cardiovascular and circulatory diseases,6.80E+17
2015-12-23T13:12:16.000Z,Gallstones within the ampulla of Later can obstruct the exorcise system of the pancreas which in turn can result in pancreatitis,Pancreatitis,Digestive diseases (except cirrhosis),6.80E+17
2015-12-23T13:17:23.000Z,Carpeted Screening of Individuals at High Risk for Pancreatic Cancer Results of a Stimulation Model,Pancreatic cancer,Neoplasms,6.80E+17
2015-12-23T13:29:10.000Z,RT of SGEN BMY starts Phase 1 2 Clinical Trial of ADCETRIS in Combination with Opdivo in Elapsed or Refractory On Hodgkin By,Non-Hodgkin lymphoma,Neoplasms,6.80E+17
2015-12-23T14:13:28.000Z,Pancreatic Cancer Is Deadly Dark Chocolate Right Help,Pancreatic cancer,Neoplasms,6.80E+17
2015-12-23T14:13:53.000Z,RT of The most common types of cancer in females are breast cancer colorectal cancer lung cancer and cervical cancer,Cervical cancer,Neoplasms,6.80E+17
2015-12-23T14:15:56.000Z,RT of Download our NICE guideline Occupational therapy for people with s disease,Parkinsons disease,Neurological disorders,6.80E+17
2015-12-23T14:16:01.000Z,RT of PracUpOnc Diabetes Associated Risks for Pancreatic Cancer duncan,Pancreatic cancer,Neoplasms,6.80E+17
