,1,2,3,4,5
758,First new tuberculosis drugs in half a century reach just 2 of people who need them,COPD,Chronic respiratory diseases,6.75E+17,0.0
761,First test OvaDx developed with Corporation ARYC defects pre symptomatic ovarian cancer ESPN,Asthma,Chronic respiratory diseases,6.77E+17,0.0
762,First time in the world Or That amp Or Inlaid perform transcaval approach to thoracic aortic aneurysm repair,Liver cancer,Neoplasms,6.81E+17,0.0
763,Fitbit Motivation Shed Excessive Eight Enjoy a Letter and Healthy Diet Diabetes,HIV/AIDS,HIV/AIDS and tuberculosis,6.78E+17,0.0
764,fitness health news it Study Links Breast Cancer Treatment Genetic Vulnerability t,Alzheimer,Neurological disorders,6.81E+17,0.0
765,Flora Unfortunately some Dogs that Took Perfectly Healthy have SpecialNeeds Epilepsy it Had 1,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.80E+17,0.0
766,Flowed Talking in Seniors Alzheimer s Danger,Pancreatitis,Digestive diseases (except cirrhosis),6.76E+17,0.0
767,Fluoroquinolone use associated with aortic aneurysm Friday Sov 27 2015 15 30 00 UTC 00 00,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.81E+17,0.0
768,Fluoroquinolone use associated with aortic aneurysm parma bitch pharmaceutical bigpharma,Parkinsons disease,Neurological disorders,6.81E+17,0.0
769,Fluoroquinolone use associated with aortic aneurysm Study finds patients who have recently taken fluoroquinol,Liver cancer,Neoplasms,6.81E+17,0.0
770,FOLFOX 4 as second line therapy after failure of gemcitabine and platino combination in advanced gall bladder can,Peptic ulcer,Digestive diseases (except cirrhosis),6.80E+17,0.0
771,follow please twitter Aussi NassimRaiss tuberculosis TubaBueyuekuestuen tube,Cardiomyopathy,Cardiovascular and circulatory diseases,6.75E+17,0.0
774,FollowMeKian my puppy is in the hospital with a kidney disease please brighten my day 97,Prostate cancer,Neoplasms,6.81E+17,0.0
775,FoodandcookingSOMADaily From a young age Holmes was small and suffered from asthma but he was known for his precociousness,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.80E+17,0.0
777,For an extra anti cancer boost and added prostate cancer protection add some shrouded carrot with a few nuts or,multiple sclerosis,Neurological disorders,6.77E+17,0.0
778,Former beauty queen accused of taking leukaemia to benefit from fundraisers heads to trial,Liver cancer,Neoplasms,6.76E+17,0.0
779,Founder of The Freedom Challenge Masses from Pancreatic Cancer at 62,multiple sclerosis,Neurological disorders,6.78E+17,0.0
780,Founder of The Freedom Challenge Masses from Pancreatic Cancer at 62 Founder s Vision has Freed 40 000 Women,Alzheimer,Neurological disorders,6.78E+17,0.0
781,FREE Asthma Guide via Brotherhood on a Time Receive a FREE guide to managing asthma and get,Epilepsy,Neurological disorders,6.77E+17,0.0
782,Free Clinical Case ReelDx 50 year old with multiple sclerosis and d pain visual loss,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17,0.0
783,Free KIndleUnlimited Sisters as Alzheimer s caregivers AlzAuthors CR4U,Liver cancer,Neoplasms,6.79E+17,0.0
784,free see filing email alert secfilings com Trial fibrillation or A fig is the most donorship,Ovarian cancer,Neoplasms,6.80E+17,0.0
785,Friend wanted recommendations for handrails for his london Called companies asked them for epilepsy charity donation if they got the contract,Ovarian cancer,Neoplasms,6.77E+17,0.0
786,Friends in United States prostate cancer incidence rates by age and stage 1995 2012,Tuberculosis,HIV/AIDS and tuberculosis,6.81E+17,0.0
787,Fro Caribbean men in Tales have a 1 in 4 risk of getting prostate cancer knowthefacts,Atrial flutter,Cardiovascular and circulatory diseases,6.70E+17,0.0
788,Fro choice doesn t mean pro abortion,HIV/AIDS,HIV/AIDS and tuberculosis,6.78E+17,0.0
789,Fro choice Irish women go public on being exiled by need for an abortion,Ovarian cancer,Neoplasms,6.81E+17,0.0
790,Fro resolving livid mediators may help in treatment of chronic destructive pulmonary disease,Prostate cancer,Neoplasms,6.78E+17,0.0
791,From a young age Holmes was small and suffered from asthma but he was known for his precociousness,Alzheimer,Neurological disorders,6.81E+17,0.0
792,From council boss lands free HIV AIDS test initiative In all time low turn out of voters was witnessed in the,HIV/AIDS,HIV/AIDS and tuberculosis,6.78E+17,0.0
793,From council boss lands free HIV AIDS test initiative The Council Chairman for From Local Government Area in,Pancreatic cancer,Neoplasms,6.78E+17,0.0
794,From medicine to exercise option for treating the symptoms of chronic destructive pulmonary disease,Epilepsy,Neurological disorders,6.78E+17,0.0
795,from of my science communication heroes siege is a lovely explanation of HRT risk amp framing healthliteracy,Breast cancer,Neoplasms,6.77E+17,0.0
796,Frontline Cancer Dream Team to study pancreatic cancer A Collar Right,Liver cancer,Neoplasms,6.79E+17,0.0
797,gall bladder right,Prostate cancer,Neoplasms,6.81E+17,0.0
798,Gallstones in other parts of the ciliary tract can cause obstruction of the bile ducts causing ascending cholangitis or pancreatitis,lung cancer,Neoplasms,6.77E+17,0.0
799,Gallstones within the ampulla of Later can obstruct the exorcise system of the pancreas which in turn can result in pancreatitis,Alzheimer,Neurological disorders,6.78E+17,0.0
800,GastroEnteroMed Search for HBV and HCV Become in Cancer Cells of Pancreatic Rumors,Pancreatic cancer,Neoplasms,6.81E+17,0.0
801,GeneArrays Study Covers Potential Urine Parker for Chronic Kidney Disease Progression genomics,Cardiomyopathy,Cardiovascular and circulatory diseases,6.76E+17,0.0
802,GeneTherapy Causes Prostate Cancer Cells to He More Visible to the Immune System,Asthma,Chronic respiratory diseases,6.81E+17,0.0
803,Genetic risk factors linked to stress induced cardiomyopathy SIC a rare type of heartdisease are identified,myocarditis,Cardiovascular and circulatory diseases,6.70E+17,0.0
804,GeneticResearch Study Covers Potential Urine Parker for Chronic Kidney Disease Progression genomics,Cervical cancer,Neoplasms,6.76E+17,0.0
805,Genmab receives am limestone from Janssen trigger by progress in phase of study of daratumumab against non Hodgkin s lympho,Cardiomyopathy,Cardiovascular and circulatory diseases,6.76E+17,0.0
806,GERD has been linked to pharyngitis chronic cough pulmonary fibrosis earache and asthma even when not clinically apparent AcidReflux,Prostate cancer,Neoplasms,6.81E+17,0.0
807,Gets Revolutionize Prostate Cancer conscioushealthsolutions health,Kidney cancer,Neoplasms,6.78E+17,0.0
808,Getting epilepsy over here from this rainstorm knocking out my days power and then having it come back on again and then repeating,Ovarian cancer,Neoplasms,6.81E+17,0.0
809,Girl Keratitis and River Cancer Development Sure Keratitis C,HIV/AIDS,HIV/AIDS and tuberculosis,6.78E+17,0.0
810,Girl rattling kidney disease goes on Colonies shopping spree via,Alzheimer,Neurological disorders,6.78E+17,0.0
811,Give 4 Indication For Cardiac Surgery In Infective Endocarditis of Vegetation amp embolic Difficult to X microorganism CNS complication,Cervical cancer,Neoplasms,6.81E+17,0.0
812,Give IBRO UCT African Advanced School on Epilepsy Siberia,Breast cancer,Neoplasms,6.81E+17,0.0
813,Give The Cardiovascular Complications Of SLE Pericarditis Myocarditis Endocarditis Hypertension Coronary heart do,Liver cancer,Neoplasms,6.81E+17,0.0
814,Giving With Kidney Cancer Kidney Cancer Association,Liver cancer,Neoplasms,6.79E+17,0.0
815,Glass is at am but my stomach has been hurting since yesterday Right be septic ulcer,multiple sclerosis,Neurological disorders,6.81E+17,0.0
816,Glibenclamide for the Treatment of Ischaemic and Haemorrhagic J Vol Ici 2015 16 4973 4984,Tuberculosis,HIV/AIDS and tuberculosis,6.76E+17,0.0
817,Global Chronic Destructive Pulmonary His stlouisseo It Louis BizTalk 1SEOCompany,Abortion,Maternal disorders,6.81E+17,0.0
818,Global Dilated Cardiomyopathy Therapeutics Market Industry Analysis Pipeline Analysis Size Share Growth or,Aortic aneurysm,Cardiovascular and circulatory diseases,6.74E+17,0.0
819,Global effort to standardized diagnosis of kidney disease,Tuberculosis,HIV/AIDS and tuberculosis,6.76E+17,0.0
820,Global On Hodgkin Lymphoma Therapeutics Market 2015 Industry Key Trend and Forecast by QYResearch Group or,Cervical cancer,Neoplasms,6.81E+17,0.0
821,Gloria Steinem s new memoir reveals a heartbreaking misunderstanding of brotherhood,Cervical cancer,Neoplasms,6.80E+17,0.0
822,Glucagon like reptile 1 prevented abdominal aortic aneurysm development in rats,Aortic aneurysm,Cardiovascular and circulatory diseases,6.76E+17,0.0
823,go All bladder,Ovarian cancer,Neoplasms,6.78E+17,0.0
824,God bless you I had cancer leukaemia 2 years ago Not of courage SameBattle,lung cancer,Neoplasms,6.80E+17,0.0
825,God is all knowing too so he allowed that girl to get rapid and that child to get leukaemia that ain t cool,multiple sclerosis,Neurological disorders,6.77E+17,0.0
826,God is sleeping on the job again Vice lady gets pancreatic cancer and passes on Must like New Platt,Pancreatic cancer,Neoplasms,6.77E+17,0.0
827,Going it for Breast Cancer Awareness,Non-Hodgkin lymphoma,Neoplasms,6.79E+17,0.0
828,Going this for a friend Heart failure after pregnancy Brittany s story One Heart of Southwestern,Rheumatic heart,Cardiovascular and circulatory diseases,6.77E+17,0.0
829,golden To More bile colored Yes I ve not got a gall bladder Vol,Breast cancer,Neoplasms,6.80E+17,0.0
830,Good news Axitinib Inlyta for kidneycancer is now listed on PBS in Australia Axitinib is similar to existing kidney cancer 1 2,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17,0.0
831,Good reminder That to do in an asthma attack,Atrial fibrillation,Cardiovascular and circulatory diseases,6.75E+17,0.0
832,Google Reveals Gigantic Ambitions To Right Cancer Diabetes Atkinson s Heart Problems DigitalHealth,Endocarditis,Cardiovascular and circulatory diseases,6.70E+17,0.0
834,Gordon Ranks facing second battle with kidney cancer sport,Breast cancer,Neoplasms,6.81E+17,0.0
835,GRACEmas if your heart is swelling u have myocarditis and should polly see a cardiac specialist have a happy amp healthy holiday,Pancreatic cancer,Neoplasms,6.80E+17,0.0
836,Grandfathers got cancer in the liver kidney and the spine I Love You Grandpa and I m always here for you,Asthma,Chronic respiratory diseases,6.81E+17,0.0
837,grateful that you follow us HIV AIDS and Nutrition specialist for the WorldFoodProgramme,ischemic stroke,Cardiovascular and circulatory diseases,6.79E+17,0.0
838,GRATIS 2015 ESC Guideline for the management of infective endocarditis,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.76E+17,0.0
839,Great article Endovascular vs medical management of acute ischaemic stroke ReadByQxMD,Tuberculosis,HIV/AIDS and tuberculosis,6.80E+17,0.0
840,Great article Recent Advances in Autoimmune Pancreatitis ReadByQxMD,Tuberculosis,HIV/AIDS and tuberculosis,6.80E+17,0.0
841,Great high LDL cholestrol in chronic kidney disease even with inflammation CKD,Parkinsons disease,Neurological disorders,6.77E+17,0.0
842,Great my damn cardiomyopathy is acting up And I was doing so well,Non-Hodgkin lymphoma,Neoplasms,6.77E+17,0.0
843,Great news for Picked House he d never be senile again humans need to wait a little bit more,Tuberculosis,HIV/AIDS and tuberculosis,6.77E+17,0.0
844,Great ProstateCancer by using these six natural methods,Aortic aneurysm,Cardiovascular and circulatory diseases,6.74E+17,0.0
845,Great story on dental malpractice including deaths from dental care left out infection amp ballot such as myocarditis,Liver cancer,Neoplasms,6.76E+17,0.0
846,Great summary about multimodality imagine approach TakoTsubo Cardiomyopathy euroecho,Pancreatitis,Digestive diseases (except cirrhosis),6.75E+17,0.0
847,Greater Accra has second highest HIV AIDS rate The Greater Accra region according to regional prevalence rate,Ischemic heart,Cardiovascular and circulatory diseases,6.75E+17,0.0
848,guessing it s my asthma,Ovarian cancer,Neoplasms,6.81E+17,0.0
849,Guideline Rush Back Age For Cervical Cancer Rests conscioushealthsolutions health,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17,0.0
850,had asthma attacks last night and now berkeley s elevators are not working,Cervical cancer,Neoplasms,6.81E+17,0.0
851,Had half a crisp krems doughnut and I think I have diabetes now,Rheumatic heart,Cardiovascular and circulatory diseases,6.70E+17,0.0
852,Had popped in to tell me may was rushed into hospital at am Looks like gall bladder issue it s genetic Wouldn t be Was without A amp E,Alzheimer,Neurological disorders,6.77E+17,0.0
853,Had surgery to remove gall bladder,Leukemia,Neoplasms,6.78E+17,0.0
855,Haemorrhage is the and leading cause of maternal death in the American aims at achieving ZeroMaternalDeaths by Haemorrhage,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.76E+17,0.0
856,hairstyle mohawks original healthyliving Parkinsons disease best selling book on the internet pick wit,Abortion,Maternal disorders,6.81E+17,0.0
857,Halo to leo for giving EFH the opportunity to do a short PSA about epilepsy Took for the PSA to air,Leukemia,Neoplasms,6.77E+17,0.0
858,Hanging out with a two year old that had liver cancer really puts shit into perspective,multiple sclerosis,Neurological disorders,6.81E+17,0.0
859,hannahnoel16 Breast feeding reduces risk of breast cancer ovarian cancer AND cardiovascular disease,Breast cancer,Neoplasms,6.78E+17,0.0
860,Happy Friday everyone The just tired our final episode of the year this ceded FOAMed,Abortion,Maternal disorders,6.77E+17,0.0
861,Harm COPD chronic destructive pulmonary disease,multiple sclerosis,Neurological disorders,6.78E+17,0.0
862,Harrogate says parents asked her to abort a healthy baby via sheknows,Tuberculosis,HIV/AIDS and tuberculosis,6.78E+17,0.0
863,has also been diagnosed with Hypertensive Heart Disease amp Cardiomyopathy Lumps in her breast have also been discovered I can t,HIV/AIDS,HIV/AIDS and tuberculosis,6.78E+17,0.0
864,have released their Christmas charity single in support of Pancreatic Cancer of Listen here,HIV/AIDS,HIV/AIDS and tuberculosis,6.81E+17,0.0
865,Have you or a loved one been diagnosed with Chronic Destructive Pulmonary Disease COPD often referred to as,Ischemic heart,Cardiovascular and circulatory diseases,6.81E+17,0.0
866,Have you read Managing bone health in men with metastatic prostate cancer apology,COPD,Chronic respiratory diseases,6.78E+17,0.0
867,Have you tried a plant based diet,Asthma,Chronic respiratory diseases,6.77E+17,0.0
868,Have your eyes from diabetes damage Some for FREE Retina photo Dec 3 amp 4 from am pm at Beef All Beef,Non-Hodgkin lymphoma,Neoplasms,6.70E+17,0.0
869,Having a migrate every day sucks,Epilepsy,Neurological disorders,6.80E+17,0.0
870,Having asthma amp being allergic to EVERYTHING is by far the worst life to lead,Breast cancer,Neoplasms,6.80E+17,0.0
871,Having asthma is the worst,Abortion,Maternal disorders,6.80E+17,0.0
872,having cardiomyopathy is the worst thing ever,Cardiomyopathy,Cardiovascular and circulatory diseases,6.77E+17,0.0
873,having with Recurrent Prostate Cancer Give now with Paul Steinberg,Endocarditis,Cardiovascular and circulatory diseases,6.79E+17,0.0
874,HCC is hepatocellular carcinoma otherwise known as liver cancer and this into is important to know,multiple sclerosis,Neurological disorders,6.78E+17,0.0
875,He always had asthma but it turns out she was the one who took his breath away ff,COPD,Chronic respiratory diseases,6.80E+17,0.0
876,He always talk about meeting and stuff and I always say no because of diabetes I m fucking sick of this shit for fuck sake,Epilepsy,Neurological disorders,6.81E+17,0.0
877,He are the only of charity dedicated to providing support and information to anyone affected by cardiomyopathy,Pancreatic cancer,Neoplasms,6.78E+17,0.0
878,He can stop abortion by arming every foetus with its own gun NRA AntiNRA,Epilepsy,Neurological disorders,6.81E+17,0.0
879,He compartido condign el press Chronic kidney disease,Cervical cancer,Neoplasms,6.77E+17,0.0
880,He Everyone s getting sick man Cameron Its leukaemia season,Endocarditis,Cardiovascular and circulatory diseases,6.79E+17,0.0
881,He have a special fact sheet that lists questions to ask your doctor if you receive a ProstateCancer diagnosis,Gall bladder,Digestive diseases (except cirrhosis),6.80E+17,0.0
882,He love you septic ulcer survivor Met well,multiple sclerosis,Neurological disorders,6.78E+17,0.0
883,he polly got diabetes or worms,Cervical cancer,Neoplasms,6.77E+17,0.0
884,He Rank Are you human Type2Diabetes,myocarditis,Cardiovascular and circulatory diseases,6.80E+17,0.0
885,He re bartering with to develop new pancreatic cancer treatments panics endanger,Tuberculosis,HIV/AIDS and tuberculosis,6.76E+17,0.0
886,He re hiring Head about our latest job opening here Terrified Diabetes Educator,ischemic stroke,Cardiovascular and circulatory diseases,6.80E+17,0.0
887,He re trying to Strike But prostate cancer See how at,Liver cancer,Neoplasms,6.79E+17,0.0
888,He updated our Ischaemic Stroke article with a study on thrombosis for stroke in patients on antiplatelet therapy,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.78E+17,0.0
889,He ve officially treated over 1000 patients with the innovative and almost side effect less Cyberknife system,Liver cancer,Neoplasms,6.79E+17,0.0
890,Head His Took 0228 Diabetes 60 System Or Approved Diabetes Program Burns Licks To Wash,Asthma,Chronic respiratory diseases,6.81E+17,0.0
891,Head His Took 3260 The Kidney Disease Solution 75 Commissions,Asthma,Chronic respiratory diseases,6.80E+17,0.0
892,Head His Took 4214 Road To Recovery From Parkinsons Disease,Tuberculosis,HIV/AIDS and tuberculosis,6.80E+17,0.0
893,Head His Took 7904 3 Incredible Diabetes E books One Price 0 Refund Late,Prostate cancer,Neoplasms,6.78E+17,0.0
894,Head my blow on Monday I made no money but it was a ride then reality and Alzheimer s hit Still trying to recover,Asthma,Chronic respiratory diseases,6.81E+17,0.0
897,head s marriage to set designer ward when on september 8 1940 lasted until his death from prostate cancer in 1979,Peripheral Arterial disease,Cardiovascular and circulatory diseases,6.79E+17,0.0
898,Head the fall issue of DCEG Mintage fearing research on non Hodgkin lympho,multiple sclerosis,Neurological disorders,6.78E+17,0.0
899,Healed of Hung Cancer The Testimony of Fro Ricardo Caindoy,Liver cancer,Neoplasms,6.76E+17,0.0
900,Health Any parents know HPV vaccine protects girls against cervical cancer Did you know boys need HPV face,Abortion,Maternal disorders,6.81E+17,0.0
901,Health Article Medical News Today Stress appears to contribute to Alzheimer s Stress apple TeamFollowBack,Abortion,Maternal disorders,6.81E+17,0.0
902,Health Benefits of Turmeric via,Breast cancer,Neoplasms,6.78E+17,0.0
903,Health problem from smoking is emphysema combined with chronic bronchitis produces chronic destructive pulmonary disease quitsmoking,Leukemia,Neoplasms,6.78E+17,0.0
904,Healthy meals crucial for HIV AIDS treatment grants to 100 of food org,HIV/AIDS,HIV/AIDS and tuberculosis,6.80E+17,0.0
905,heard an ad seeking people with type 1 diabetes and the guy says at the end and if you don t have diabetes And i really thought,Aortic aneurysm,Cardiovascular and circulatory diseases,6.70E+17,0.0
906,hearing that a 7 or old has just been diagnosed w leukaemia is one of the saddest things,Parkinsons disease,Neurological disorders,6.77E+17,0.0
907,Heart failure after pregnancy Brittany s story One Heart of Southwestern via,Ovarian cancer,Neoplasms,6.77E+17,0.0
908,Heart patient may lose home in of jobs money work LONGTIME rheumatic heart patient Purity Began was on h,Epilepsy,Neurological disorders,6.81E+17,0.0
909,Heart surgeon finds empty as crucial as a scale in saving a drug adduct w endocarditis,Epilepsy,Neurological disorders,6.80E+17,0.0
910,Heart When shed we start aspirin to patient who has a whole left MCA area ischaemic stroke any guideline,Atrial fibrillation,Cardiovascular and circulatory diseases,6.76E+17,0.0
914,Hello everyone have a great Wednesday BeAwareoftheUnaware PAA insight by,Aortic aneurysm,Cardiovascular and circulatory diseases,6.79E+17,0.0
916,Hello friends enjoy your Wednesday from the PAA community BeAwareoftheUnaware insight by,Cervical cancer,Neoplasms,6.77E+17,0.0
917,Hello Or Merry By name is Brianna I am taking care of my mon who has multiple sclerosis Need help paying for college,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17,0.0
918,Help beat Epilepsy Honoring Am,COPD,Chronic respiratory diseases,6.79E+17,0.0
919,Help Cooper from Sort McMurray of that s a firefighter with Acute Lymphoblastic Leukaemia ALL Was Donate,Gall bladder,Digestive diseases (except cirrhosis),6.78E+17,0.0
920,Help is available to deal with negative effects of abortion Listen NOW West Talk Radio,Ovarian cancer,Neoplasms,6.77E+17,0.0
921,help me i bought a color flowing light up charge and i got a color flashing one instead now i have epilepsy and heartbreak,lung cancer,Neoplasms,6.77E+17,0.0
922,Help me to raise money for Friant whose husband is rattling Multiple Sclerosis gofundme ad,Atrial fibrillation,Cardiovascular and circulatory diseases,6.79E+17,0.0
923,Help stop the Sins of Abortion In the skirts is found the blood of the souls of the poor innocent Jeremiah 2 34,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.80E+17,0.0
924,Help The Leukaemia amp Lymphoma Society of Central of turn tomorrow into today add 1 donation to or check at Sacs,Leukemia,Neoplasms,6.78E+17,0.0
925,Helpful for leukaemia lympho patients Fewer side effects with new drug for fatal folds,HIV/AIDS,HIV/AIDS and tuberculosis,6.80E+17,0.0
926,Helping Sonya Right its 1 Cause of Death from Cancer Cervical cancer is the 1 cause of death by AfyaKenya,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.81E+17,0.0
927,Hepatocellular carcinoma is a primary liver cancer that is more common in people with cirrhosis,Prostate cancer,Neoplasms,6.81E+17,0.0
928,hepatology Trial of Index Cholecystectomy Versus Schedule Cholecystectomy in Ciliary Pancreatitis,Gall bladder,Digestive diseases (except cirrhosis),6.77E+17,0.0
929,HereCoverJeffreyMiller do u have asthma,Asthma,Chronic respiratory diseases,6.81E+17,0.0
930,Hero s bought of pancreatitis is all gone The met says no more table scraps poor Seem but he s okay now,Pancreatic cancer,Neoplasms,6.76E+17,0.0
931,hey you filthy abortion machine please tell me the last danger up your that ended any chance of you to reproduce,Pancreatic cancer,Neoplasms,6.80E+17,0.0
932,High I have a really bad migrate Well I guess I m off to sleep See a,Liver cancer,Neoplasms,6.80E+17,0.0
933,High residual platelets activity HRPR for adenosine diphosphate ADP stimuli is a determining factor for long,Epilepsy,Neurological disorders,6.77E+17,0.0
934,Higher pentraxin 3 sputum levels indicate presence of chronic destructive pulmonary disease,Atrial fibrillation,Cardiovascular and circulatory diseases,6.76E+17,0.0
935,Highest rate of unable cervical cancer Program launched to reduce deadly cervical cancer in Haiti GoogleAlerts,Alzheimer,Neurological disorders,6.81E+17,0.0
936,Hinges may lead to stroke and heart attack acute cardiovascular events such as ischaemic stroke and myo,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17,0.0
937,hiring right now Or Product Manager in posterity of jobs job,Leukemia,Neoplasms,6.81E+17,0.0
938,his amp aids information liver cancer risk will remain elevated for people with cirrhosis cured donorship,Abortion,Maternal disorders,6.78E+17,0.0
940,His Ancient Remedy Cures HIV AIDS Diabetes Cancer Stroke STDs Arthritis amp More,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17,0.0
941,His animation shows how endocarditis infected an infant s heart,Aortic aneurysm,Cardiovascular and circulatory diseases,6.76E+17,0.0
942,His Asthma is killing,Alzheimer,Neurological disorders,6.80E+17,0.0
944,His beauty brand s breast cancer ad is anything but skin deep advertising,Asthma,Chronic respiratory diseases,6.81E+17,0.0
945,His Been s Simple Invention Will Help Deep Seniors With Alzheimer s More Safe,Endocarditis,Cardiovascular and circulatory diseases,6.80E+17,0.0
946,His Bodybuilder Lies From River Cancer After Consuming 8 Energy Drinks Daily,Atrial fibrillation,Cardiovascular and circulatory diseases,6.81E+17,0.0
947,His day six years ago I lost my mon to pancreatic cancer Love you mon always NeverForget,multiple sclerosis,Neurological disorders,6.78E+17,0.0
948,His evening I ve learned about Cardiomyopathy Pretty sure this is not how Friday evenings are meant to be spent,Parkinsons disease,Neurological disorders,6.81E+17,0.0
950,His Herb Would be the Sure to 5 Different Types of Cancer Ovarian River Hung and Melanoma via,Tuberculosis,HIV/AIDS and tuberculosis,6.76E+17,0.0
951,His holiday season consider making an impact by supporting research into the cause amp prevention of breast cancer,myocarditis,Cardiovascular and circulatory diseases,6.79E+17,0.0
952,His HolidaySeason Please Give to Sila s Leukaemia Fund Help Seat Cancer,Gall bladder,Digestive diseases (except cirrhosis),6.75E+17,0.0
953,His is an exciting advancement in treating pancreatic cancer,Cervical cancer,Neoplasms,6.76E+17,0.0
954,His is one of our sum s from school bravely shaving her lovely long hair and fighting breast cancer herself,Aortic aneurysm,Cardiovascular and circulatory diseases,6.71E+17,0.0
955,His makes me love him even more,Cervical cancer,Neoplasms,6.76E+17,0.0
956,His migrate life is not okay,Breast cancer,Neoplasms,6.80E+17,0.0
957,His multiple sclerosis agent does not cause cancer,Aortic aneurysm,Cardiovascular and circulatory diseases,6.74E+17,0.0
958,His night got two of nd all proud of that shit but wonder where his and aids come from s all wild,Asthma,Chronic respiratory diseases,6.81E+17,0.0
959,His of Times reporter has passed away but it is worthwhile to read what she had to say about breast cancer and,HIV/AIDS,HIV/AIDS and tuberculosis,6.77E+17,0.0
960,His sweet needs and epilepsy warning,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17,0.0
961,His year Teatru plugged is supporting breast cancer research through the RIDT University of Malta Research,Non-Hodgkin lymphoma,Neoplasms,6.71E+17,0.0
962,Historian bill moves to realise medicinal connais cultivation v MME epilepsy,Gall bladder,Digestive diseases (except cirrhosis),6.78E+17,0.0
963,Historian diseases from scarlet fever to cholera and tuberculosis are making a London comeback,Leukemia,Neoplasms,6.80E+17,0.0
965,Historian Diseases Like Measles and Tuberculosis on the Rise in England Historian rise,lung cancer,Neoplasms,6.80E+17,0.0
966,HIV AIDS Now Everyone Benefits From Undetectable Girl Road Suppressing the HIV virus to undetectable levels has long played a,Epilepsy,Neurological disorders,6.77E+17,0.0
967,HIV AIDS Status que threatens to detail the progress report says,Peptic ulcer,Digestive diseases (except cirrhosis),6.75E+17,0.0
968,HIV Lids is not even Totally over yet and there s already a new virus Ladies and Gentlemen the Superbug,Alzheimer,Neurological disorders,6.80E+17,0.0
969,HIV News Illinois Biotechnology Industry Organization Announces Horizon Harm Chairman and CEO Timothy P A,Tuberculosis,HIV/AIDS and tuberculosis,6.77E+17,0.0
970,HIV News SHAREHOLDER NOTICE Goldberg Saw of Announces an Going Investigation of Claims against KaloBios Ha,Cardiomyopathy,Cardiovascular and circulatory diseases,6.78E+17,0.0
971,Holiday discount on FDA approved AfibAlert monitor for trial fibrillation patients fig,Leukemia,Neoplasms,6.78E+17,0.0
972,Holy Whistle Armenia Benedict 50G Ragged River All Bladder Health may,Gall bladder,Digestive diseases (except cirrhosis),6.77E+17,0.0
973,Homeless people have diabetes too,Liver cancer,Neoplasms,6.80E+17,0.0
974,hope  of 2 days after the abortion and already got my cut body back In t no cock blocking baby getting in the way of my fun http,Kidney cancer,Neoplasms,6.80E+17,0.0
975,hope  of 20 000 new cases of ovarian cancer per year That s too many Tapping Cancer Farmers team,Parkinsons disease,Neurological disorders,6.78E+17,0.0
976,Hope van echo a big boss both are cancers K lung cancer to e liver,HIV/AIDS,HIV/AIDS and tuberculosis,6.81E+17,0.0
977,Horrified pneumoconiosis back Black day for mining industry as deadly disease surfaces via,Liver cancer,Neoplasms,6.81E+17,0.0
978,Hotel Williams on Multiple Sclerosis Multiple Sclerosis News Today,Hypertensive heart disease,Cardiovascular and circulatory diseases,6.79E+17,0.0
979,how to get diabetes after eating 20 of these,ischemic stroke,Cardiovascular and circulatory diseases,6.80E+17,0.0
980,However on route to overtake assimilation your intellectual faculty whereby yours ischaemic heart disease to,Leukemia,Neoplasms,6.76E+17,0.0
981,HPV prevalence and type distribution in cervical cancer and premalignant lesions of the croix A tumorimmuno,Non-Hodgkin lymphoma,Neoplasms,6.78E+17,0.0
982,HPV vaccine Millions of women are missing out on the chance to prevent cervical cancer,Pancreatitis,Digestive diseases (except cirrhosis),6.75E+17,0.0
983,HPV West Seats Cap To Spot Cervical Cancer conscioushealthsolutions health,Tuberculosis,HIV/AIDS and tuberculosis,6.80E+17,0.0
984,HRC launched new efforts to tackle HIV amp AIDS,HIV/AIDS,HIV/AIDS and tuberculosis,6.80E+17,0.0
985,Human IGF1 pro forms induce breast cancer cell proliferation via the IGF1 receptor,Kidney cancer,Neoplasms,6.79E+17,0.0
987,Hundreds potentially exposed to tuberculosis at hospital via,Prostate cancer,Neoplasms,6.81E+17,0.0
988,Hung Cancer Round To He Genetically Different Disease In Young And Older Patients Science 2 0 cancer,Pancreatitis,Digestive diseases (except cirrhosis),6.78E+17,0.0
990,Hyperoside induces proptosis and inhibit growth in pancreatic cancer via All 2 family and of B signaling pathway,Parkinsons disease,Neurological disorders,6.77E+17,0.0
