time,text,topic,group,id,isDup
2015-12-16T20:01:33.000Z,God is all knowing too so he allowed that girl to get rapid and that child to get leukaemia that ain t cool,multiple sclerosis,Neurological disorders,6.77E+17,
2015-12-16T16:46:56.000Z,God is sleeping on the job again Vice lady gets pancreatic cancer and passes on Must like New Platt,Pancreatic cancer,Neoplasms,6.77E+17,
2015-12-22T19:50:28.000Z,Going it for Breast Cancer Awareness,Non-Hodgkin lymphoma,Neoplasms,6.79E+17,
2015-12-15T21:02:40.000Z,Going this for a friend Heart failure after pregnancy Brittany s story One Heart of Southwestern,Rheumatic heart,Cardiovascular and circulatory diseases,6.77E+17,
2015-12-23T22:55:41.000Z,golden To More bile colored Yes I ve not got a gall bladder Vol,Breast cancer,Neoplasms,6.80E+17,
2015-12-15T22:06:06.000Z,Good news Axitinib Inlyta for kidneycancer is now listed on PBS in Australia Axitinib is similar to existing kidney cancer 1 2,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17,
Fri Dec 11 21:50:55 +0000 2015,Good reminder That to do in an asthma attack,Atrial fibrillation,Cardiovascular and circulatory diseases,6.75E+17,
Fri Nov 27 16:01:57 +0000 2015,Google Reveals Gigantic Ambitions To Right Cancer Diabetes Atkinson s Heart Problems DigitalHealth,Endocarditis,Cardiovascular and circulatory diseases,6.70E+17,
2015-12-26T23:30:25.000Z,Gordon Ranks facing second battle with kidney cancer,Migraine,Neurological disorders,6.81E+17,
2015-12-26T23:27:37.000Z,Gordon Ranks facing second battle with kidney cancer sport,Breast cancer,Neoplasms,6.81E+17,
2015-12-23T20:53:02.000Z,GRACEmas if your heart is swelling u have myocarditis and should polly see a cardiac specialist have a happy amp healthy holiday,Pancreatic cancer,Neoplasms,6.80E+17,
2015-12-26T23:39:32.000Z,Grandfathers got cancer in the liver kidney and the spine I Love You Grandpa and I m always here for you,Asthma,Chronic respiratory diseases,6.81E+17,
2015-12-22T05:47:12.000Z,grateful that you follow us HIV AIDS and Nutrition specialist for the WorldFoodProgramme,ischemic stroke,Cardiovascular and circulatory diseases,6.79E+17,
Sun Dec 13 03:28:52 +0000 2015,GRATIS 2015 ESC Guideline for the management of infective endocarditis,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.76E+17,
2015-12-23T20:18:47.000Z,Great article Endovascular vs medical management of acute ischaemic stroke ReadByQxMD,Tuberculosis,HIV/AIDS and tuberculosis,6.80E+17,
2015-12-23T20:19:16.000Z,Great article Recent Advances in Autoimmune Pancreatitis ReadByQxMD,Tuberculosis,HIV/AIDS and tuberculosis,6.80E+17,
2015-12-16T14:07:51.000Z,Great high LDL cholestrol in chronic kidney disease even with inflammation CKD,Parkinsons disease,Neurological disorders,6.77E+17,
2015-12-15T05:21:00.000Z,Great my damn cardiomyopathy is acting up And I was doing so well,Non-Hodgkin lymphoma,Neoplasms,6.77E+17,
2015-12-16T23:35:01.000Z,Great news for Picked House he d never be senile again humans need to wait a little bit more,Tuberculosis,HIV/AIDS and tuberculosis,6.77E+17,
Mon Dec 07 10:56:24 +0000 2015,Great ProstateCancer by using these six natural methods,Aortic aneurysm,Cardiovascular and circulatory diseases,6.74E+17,
Sat Dec 12 14:04:37 +0000 2015,Great story on dental malpractice including deaths from dental care left out infection amp ballot such as myocarditis,Liver cancer,Neoplasms,6.76E+17,
Sat Dec 12 01:45:29 +0000 2015,Great summary about multimodality imagine approach TakoTsubo Cardiomyopathy euroecho,Pancreatitis,Digestive diseases (except cirrhosis),6.75E+17,
Fri Dec 11 17:22:03 +0000 2015,Greater Accra has second highest HIV AIDS rate The Greater Accra region according to regional prevalence rate,Ischemic heart,Cardiovascular and circulatory diseases,6.75E+17,
2015-12-26T22:49:57.000Z,guessing it s my asthma,Ovarian cancer,Neoplasms,6.81E+17,
2015-12-16T23:52:11.000Z,Guideline Rush Back Age For Cervical Cancer Rests conscioushealthsolutions health,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.77E+17,
2015-12-26T22:19:06.000Z,had asthma attacks last night and now berkeley s elevators are not working,Cervical cancer,Neoplasms,6.81E+17,
Fri Nov 27 02:00:29 +0000 2015,Had half a crisp krems doughnut and I think I have diabetes now,Rheumatic heart,Cardiovascular and circulatory diseases,6.70E+17,
2015-12-16T23:58:53.000Z,Had popped in to tell me may was rushed into hospital at am Looks like gall bladder issue it s genetic Wouldn t be Was without A amp E,Alzheimer,Neurological disorders,6.77E+17,
2015-12-19T22:03:37.000Z,Had surgery to remove gall bladder,Leukemia,Neoplasms,6.78E+17,
Sat Dec 12 22:45:16 +0000 2015,Haemorrhage bleeding is the and leading cause of maternal death in the American ZeroMaternalDeaths,Rheumatic heart,Cardiovascular and circulatory diseases,6.76E+17,
Sat Dec 12 22:46:26 +0000 2015,Haemorrhage is the and leading cause of maternal death in the American aims at achieving ZeroMaternalDeaths by Haemorrhage,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.76E+17,
2015-12-26T23:47:13.000Z,hairstyle mohawks original healthyliving Parkinsons disease best selling book on the internet pick wit,Abortion,Maternal disorders,6.81E+17,
2015-12-16T22:53:12.000Z,Halo to leo for giving EFH the opportunity to do a short PSA about epilepsy Took for the PSA to air,Leukemia,Neoplasms,6.77E+17,
2015-12-26T20:14:34.000Z,Hanging out with a two year old that had liver cancer really puts shit into perspective,multiple sclerosis,Neurological disorders,6.81E+17,
2015-12-19T23:38:15.000Z,hannahnoel16 Breast feeding reduces risk of breast cancer ovarian cancer AND cardiovascular disease,Breast cancer,Neoplasms,6.78E+17,
2015-12-16T23:50:10.000Z,Happy Friday everyone The just tired our final episode of the year this ceded FOAMed,Abortion,Maternal disorders,6.77E+17,
2015-12-19T22:19:48.000Z,Harm COPD chronic destructive pulmonary disease,multiple sclerosis,Neurological disorders,6.78E+17,
2015-12-19T20:14:09.000Z,Harrogate says parents asked her to abort a healthy baby via sheknows,Tuberculosis,HIV/AIDS and tuberculosis,6.78E+17,
2015-12-19T21:46:20.000Z,has also been diagnosed with Hypertensive Heart Disease amp Cardiomyopathy Lumps in her breast have also been discovered I can t,HIV/AIDS,HIV/AIDS and tuberculosis,6.78E+17,
2015-12-26T17:32:11.000Z,have released their Christmas charity single in support of Pancreatic Cancer of Listen here,HIV/AIDS,HIV/AIDS and tuberculosis,6.81E+17,
2015-12-26T12:52:13.000Z,Have you or a loved one been diagnosed with Chronic Destructive Pulmonary Disease COPD often referred to as,Ischemic heart,Cardiovascular and circulatory diseases,6.81E+17,
2015-12-18T07:30:42.000Z,Have you read Managing bone health in men with metastatic prostate cancer apology,COPD,Chronic respiratory diseases,6.78E+17,
2015-12-16T22:58:36.000Z,Have you tried a plant based diet,Asthma,Chronic respiratory diseases,6.77E+17,
Fri Nov 27 07:30:02 +0000 2015,Have your eyes from diabetes damage Some for FREE Retina photo Dec 3 amp 4 from am pm at Beef All Beef,Non-Hodgkin lymphoma,Neoplasms,6.70E+17,
2015-12-23T23:55:28.000Z,Having a migrate every day sucks,Epilepsy,Neurological disorders,6.80E+17,
2015-12-23T23:57:35.000Z,Having asthma amp being allergic to EVERYTHING is by far the worst life to lead,Breast cancer,Neoplasms,6.80E+17,
2015-12-23T23:58:05.000Z,Having asthma is the worst,Abortion,Maternal disorders,6.80E+17,
2015-12-15T06:04:30.000Z,having cardiomyopathy is the worst thing ever,Cardiomyopathy,Cardiovascular and circulatory diseases,6.77E+17,
2015-12-21T13:03:34.000Z,having with Recurrent Prostate Cancer Give now with Paul Steinberg,Endocarditis,Cardiovascular and circulatory diseases,6.79E+17,
2015-12-19T22:17:18.000Z,HCC is hepatocellular carcinoma otherwise known as liver cancer and this into is important to know,multiple sclerosis,Neurological disorders,6.78E+17,
2015-12-25T00:05:15.000Z,He always had asthma but it turns out she was the one who took his breath away ff,COPD,Chronic respiratory diseases,6.80E+17,
2015-12-26T22:34:58.000Z,He always talk about meeting and stuff and I always say no because of diabetes I m fucking sick of this shit for fuck sake,Epilepsy,Neurological disorders,6.81E+17,
2015-12-19T22:15:00.000Z,He are the only of charity dedicated to providing support and information to anyone affected by cardiomyopathy,Pancreatic cancer,Neoplasms,6.78E+17,
2015-12-26T23:08:15.000Z,He can stop abortion by arming every foetus with its own gun NRA AntiNRA,Epilepsy,Neurological disorders,6.81E+17,
2015-12-16T17:07:07.000Z,He compartido condign el press Chronic kidney disease,Cervical cancer,Neoplasms,6.77E+17,
2015-12-21T04:59:01.000Z,He Everyone s getting sick man Cameron Its leukaemia season,Endocarditis,Cardiovascular and circulatory diseases,6.79E+17,
2015-12-23T23:31:20.000Z,He have a special fact sheet that lists questions to ask your doctor if you receive a ProstateCancer diagnosis,Gall bladder,Digestive diseases (except cirrhosis),6.80E+17,
2015-12-19T21:45:38.000Z,He love you septic ulcer survivor Met well,multiple sclerosis,Neurological disorders,6.78E+17,
2015-12-16T23:14:45.000Z,he polly got diabetes or worms,Cervical cancer,Neoplasms,6.77E+17,
2015-12-24T08:30:11.000Z,He Rank Are you human Type2Diabetes,myocarditis,Cardiovascular and circulatory diseases,6.80E+17,
Sun Dec 13 02:01:47 +0000 2015,He re bartering with to develop new pancreatic cancer treatments panics endanger,Tuberculosis,HIV/AIDS and tuberculosis,6.76E+17,
2015-12-23T15:21:26.000Z,He re hiring Head about our latest job opening here Terrified Diabetes Educator,ischemic stroke,Cardiovascular and circulatory diseases,6.80E+17,
2015-12-22T03:19:22.000Z,He re trying to Strike But prostate cancer See how at,Liver cancer,Neoplasms,6.79E+17,
2015-12-19T23:36:54.000Z,He updated our Ischaemic Stroke article with a study on thrombosis for stroke in patients on antiplatelet therapy,Diabetes,"Diabetes, urogenital, blood, and endocrine diseases",6.78E+17,
2015-12-22T08:22:29.000Z,He ve officially treated over 1000 patients with the innovative and almost side effect less Cyberknife system,Liver cancer,Neoplasms,6.79E+17,
2015-12-26T22:40:12.000Z,Head His Took 0228 Diabetes 60 System Or Approved Diabetes Program Burns Licks To Wash,Asthma,Chronic respiratory diseases,6.81E+17,
2015-12-23T23:20:26.000Z,Head His Took 3260 The Kidney Disease Solution 75 Commissions,Asthma,Chronic respiratory diseases,6.80E+17,
2015-12-23T21:57:19.000Z,Head His Took 4214 Road To Recovery From Parkinsons Disease,Tuberculosis,HIV/AIDS and tuberculosis,6.80E+17,
2015-12-19T20:03:26.000Z,Head His Took 7904 3 Incredible Diabetes E books One Price 0 Refund Late,Prostate cancer,Neoplasms,6.78E+17,
2015-12-26T23:12:35.000Z,Head my blow on Monday I made no money but it was a ride then reality and Alzheimer s hit Still trying to recover,Asthma,Chronic respiratory diseases,6.81E+17,
2015-12-18T11:24:44.000Z,Head s marriage to set designer Heard When on September 8 1940 lasted until his death from prostate cancer in 1979,COPD,Chronic respiratory diseases,6.78E+17,
2015-12-18T13:02:38.000Z,Head s marriage to set designer Heard When on September 8 1940 lasted until his death from prostate cancer in 1979 InteriorDes,COPD,Chronic respiratory diseases,6.78E+17,
2015-12-21T08:44:04.000Z,head s marriage to set designer ward when on september 8 1940 lasted until his death from prostate cancer in 1979,Peripheral Arterial disease,Cardiovascular and circulatory diseases,6.79E+17,
2015-12-19T22:20:12.000Z,Head the fall issue of DCEG Mintage fearing research on non Hodgkin lympho,multiple sclerosis,Neurological disorders,6.78E+17,
Sat Dec 12 10:40:00 +0000 2015,Healed of Hung Cancer The Testimony of Fro Ricardo Caindoy,Liver cancer,Neoplasms,6.76E+17,
2015-12-26T23:35:07.000Z,Health Any parents know HPV vaccine protects girls against cervical cancer Did you know boys need HPV face,Abortion,Maternal disorders,6.81E+17,
2015-12-26T23:25:50.000Z,Health Article Medical News Today Stress appears to contribute to Alzheimer s Stress apple TeamFollowBack,Abortion,Maternal disorders,6.81E+17,
2015-12-19T22:58:09.000Z,Health Benefits of Turmeric via,Breast cancer,Neoplasms,6.78E+17,
2015-12-19T23:15:40.000Z,Health problem from smoking is emphysema combined with chronic bronchitis produces chronic destructive pulmonary disease quitsmoking,Leukemia,Neoplasms,6.78E+17,
2015-12-23T22:11:41.000Z,Healthy meals crucial for HIV AIDS treatment grants to 100 of food org,HIV/AIDS,HIV/AIDS and tuberculosis,6.80E+17,
Fri Nov 27 11:35:04 +0000 2015,heard an ad seeking people with type 1 diabetes and the guy says at the end and if you don t have diabetes And i really thought,Aortic aneurysm,Cardiovascular and circulatory diseases,6.70E+17,
2015-12-16T20:45:34.000Z,hearing that a 7 or old has just been diagnosed w leukaemia is one of the saddest things,Parkinsons disease,Neurological disorders,6.77E+17,
2015-12-16T23:53:03.000Z,Heart failure after pregnancy Brittany s story One Heart of Southwestern via,Ovarian cancer,Neoplasms,6.77E+17,
2015-12-26T20:02:17.000Z,Heart patient may lose home in of jobs money work LONGTIME rheumatic heart patient Purity Began was on h,Epilepsy,Neurological disorders,6.81E+17,
2015-12-23T21:10:05.000Z,Heart surgeon finds empty as crucial as a scale in saving a drug adduct w endocarditis,Epilepsy,Neurological disorders,6.80E+17,
Sat Dec 12 17:48:11 +0000 2015,Heart When shed we start aspirin to patient who has a whole left MCA area ischaemic stroke any guideline,Atrial fibrillation,Cardiovascular and circulatory diseases,6.76E+17,
2015-12-26T03:45:57.000Z,Hello everyone have a great Friday BeAwareoftheUnaware PAA insight by,Endocarditis,Cardiovascular and circulatory diseases,6.81E+17,
2015-12-26T18:20:41.000Z,Hello everyone have a great Saturday BeAwareoftheUnaware PAA insight by,multiple sclerosis,Neurological disorders,6.81E+17,
Sat Dec 12 23:01:46 +0000 2015,Hello everyone have a great Tuesday BeAwareoftheUnaware PAA insight by,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.76E+17,
2015-12-20T14:59:34.000Z,Hello everyone have a great Wednesday BeAwareoftheUnaware PAA insight by,Aortic aneurysm,Cardiovascular and circulatory diseases,6.79E+17,
2015-12-19T21:57:49.000Z,Hello friends enjoy your Monday from the PAA community BeAwareoftheUnaware insight by,Prostate cancer,Neoplasms,6.78E+17,
2015-12-16T16:23:04.000Z,Hello friends enjoy your Wednesday from the PAA community BeAwareoftheUnaware insight by,Cervical cancer,Neoplasms,6.77E+17,
2015-12-22T04:33:17.000Z,Hello Or Merry By name is Brianna I am taking care of my mon who has multiple sclerosis Need help paying for college,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17,
2015-12-22T15:32:05.000Z,Help beat Epilepsy Honoring Am,COPD,Chronic respiratory diseases,6.79E+17,
2015-12-19T06:29:47.000Z,Help Cooper from Sort McMurray of that s a firefighter with Acute Lymphoblastic Leukaemia ALL Was Donate,Gall bladder,Digestive diseases (except cirrhosis),6.78E+17,
2015-12-16T23:21:44.000Z,Help is available to deal with negative effects of abortion Listen NOW West Talk Radio,Ovarian cancer,Neoplasms,6.77E+17,
2015-12-16T21:20:34.000Z,help me i bought a color flowing light up charge and i got a color flashing one instead now i have epilepsy and heartbreak,lung cancer,Neoplasms,6.77E+17,
2015-12-22T20:50:12.000Z,Help me to raise money for Friant whose husband is rattling Multiple Sclerosis gofundme ad,Atrial fibrillation,Cardiovascular and circulatory diseases,6.79E+17,
2015-12-23T16:33:11.000Z,Help stop the Sins of Abortion In the skirts is found the blood of the souls of the poor innocent Jeremiah 2 34,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.80E+17,
2015-12-19T23:58:27.000Z,Help The Leukaemia amp Lymphoma Society of Central of turn tomorrow into today add 1 donation to or check at Sacs,Leukemia,Neoplasms,6.78E+17,
2015-12-23T23:43:00.000Z,Helpful for leukaemia lympho patients Fewer side effects with new drug for fatal folds,HIV/AIDS,HIV/AIDS and tuberculosis,6.80E+17,
2015-12-26T16:38:55.000Z,Helping Sonya Right its 1 Cause of Death from Cancer Cervical cancer is the 1 cause of death by AfyaKenya,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.81E+17,
2015-12-26T17:58:35.000Z,Hepatocellular carcinoma is a primary liver cancer that is more common in people with cirrhosis,Prostate cancer,Neoplasms,6.81E+17,
2015-12-16T00:33:30.000Z,hepatology Trial of Index Cholecystectomy Versus Schedule Cholecystectomy in Ciliary Pancreatitis,Gall bladder,Digestive diseases (except cirrhosis),6.77E+17,
2015-12-26T22:03:04.000Z,HereCoverJeffreyMiller do u have asthma,Asthma,Chronic respiratory diseases,6.81E+17,
Sat Dec 12 17:11:55 +0000 2015,Hero s bought of pancreatitis is all gone The met says no more table scraps poor Seem but he s okay now,Pancreatic cancer,Neoplasms,6.76E+17,
2015-12-23T14:34:16.000Z,hey you filthy abortion machine please tell me the last danger up your that ended any chance of you to reproduce,Pancreatic cancer,Neoplasms,6.80E+17,
2015-12-25T20:44:21.000Z,High I have a really bad migrate Well I guess I m off to sleep See a,Liver cancer,Neoplasms,6.80E+17,
2015-12-16T23:46:50.000Z,High residual platelets activity HRPR for adenosine diphosphate ADP stimuli is a determining factor for long,Epilepsy,Neurological disorders,6.77E+17,
Sat Dec 12 18:27:34 +0000 2015,Higher pentraxin 3 sputum levels indicate presence of chronic destructive pulmonary disease,Atrial fibrillation,Cardiovascular and circulatory diseases,6.76E+17,
2015-12-26T23:38:45.000Z,Highest rate of unable cervical cancer Program launched to reduce deadly cervical cancer in Haiti GoogleAlerts,Alzheimer,Neurological disorders,6.81E+17,
2015-12-15T17:21:10.000Z,Hinges may lead to stroke and heart attack acute cardiovascular events such as ischaemic stroke and myo,ischemic stroke,Cardiovascular and circulatory diseases,6.77E+17,
2015-12-26T19:48:56.000Z,hiring right now Or Product Manager in posterity of jobs job,Leukemia,Neoplasms,6.81E+17,
2015-12-19T23:58:09.000Z,his amp aids information liver cancer risk will remain elevated for people with cirrhosis cured donorship,Abortion,Maternal disorders,6.78E+17,
2015-12-19T11:49:49.000Z,His Ancient Remedy Cures All Diseases HIV AIDS Diabetes Cancer Stroke STDs Arthritis amp More,Liver cancer,Neoplasms,6.78E+17,
2015-12-16T18:31:22.000Z,His Ancient Remedy Cures HIV AIDS Diabetes Cancer Stroke STDs Arthritis amp More,Pancreatitis,Digestive diseases (except cirrhosis),6.77E+17,
Sat Dec 12 15:20:48 +0000 2015,His animation shows how endocarditis infected an infant s heart,Aortic aneurysm,Cardiovascular and circulatory diseases,6.76E+17,
2015-12-23T23:46:06.000Z,His Asthma is killing,Alzheimer,Neurological disorders,6.80E+17,
2015-12-16T22:58:46.000Z,His beauty brand s breast cancer ad fearing palindromic copy is anything but skin deep,Cervical cancer,Neoplasms,6.77E+17,
2015-12-26T23:00:51.000Z,His beauty brand s breast cancer ad is anything but skin deep advertising,Asthma,Chronic respiratory diseases,6.81E+17,
2015-12-24T01:05:34.000Z,His Been s Simple Invention Will Help Deep Seniors With Alzheimer s More Safe,Endocarditis,Cardiovascular and circulatory diseases,6.80E+17,
2015-12-26T15:10:33.000Z,His Bodybuilder Lies From River Cancer After Consuming 8 Energy Drinks Daily,Atrial fibrillation,Cardiovascular and circulatory diseases,6.81E+17,
2015-12-19T23:25:51.000Z,His day six years ago I lost my mon to pancreatic cancer Love you mon always NeverForget,multiple sclerosis,Neurological disorders,6.78E+17,
2015-12-26T03:56:01.000Z,His evening I ve learned about Cardiomyopathy Pretty sure this is not how Friday evenings are meant to be spent,Parkinsons disease,Neurological disorders,6.81E+17,
Fri Dec 11 22:57:07 +0000 2015,His Green Herb Sure to 5 Different of Cancer Including Ovarian River Hung and Melanoma,COPD,Chronic respiratory diseases,6.75E+17,
Sun Dec 13 02:04:08 +0000 2015,His Herb Would be the Sure to 5 Different Types of Cancer Ovarian River Hung and Melanoma via,Tuberculosis,HIV/AIDS and tuberculosis,6.76E+17,
2015-12-22T23:14:28.000Z,His holiday season consider making an impact by supporting research into the cause amp prevention of breast cancer,myocarditis,Cardiovascular and circulatory diseases,6.79E+17,
Fri Dec 11 22:44:35 +0000 2015,His HolidaySeason Please Give to Sila s Leukaemia Fund Help Seat Cancer,Gall bladder,Digestive diseases (except cirrhosis),6.75E+17,
Sun Dec 13 02:00:07 +0000 2015,His is an exciting advancement in treating pancreatic cancer,Cervical cancer,Neoplasms,6.76E+17,
Mon Nov 30 06:22:35 +0000 2015,His is one of our sum s from school bravely shaving her lovely long hair and fighting breast cancer herself,Aortic aneurysm,Cardiovascular and circulatory diseases,6.71E+17,
Sat Dec 12 09:45:23 +0000 2015,His makes me love him even more,Cervical cancer,Neoplasms,6.76E+17,
2015-12-23T23:58:29.000Z,His migrate life is not okay,Breast cancer,Neoplasms,6.80E+17,
Mon Dec 07 06:34:00 +0000 2015,His multiple sclerosis agent does not cause cancer,Aortic aneurysm,Cardiovascular and circulatory diseases,6.74E+17,
2015-12-26T22:07:23.000Z,His night got two of nd all proud of that shit but wonder where his and aids come from s all wild,Asthma,Chronic respiratory diseases,6.81E+17,
2015-12-16T22:23:30.000Z,His of Times reporter has passed away but it is worthwhile to read what she had to say about breast cancer and,HIV/AIDS,HIV/AIDS and tuberculosis,6.77E+17,
2015-12-22T09:35:19.000Z,His sweet needs and epilepsy warning,Pancreatitis,Digestive diseases (except cirrhosis),6.79E+17,
Mon Nov 30 20:57:46 +0000 2015,His year Teatru plugged is supporting breast cancer research through the RIDT University of Malta Research,Non-Hodgkin lymphoma,Neoplasms,6.71E+17,
2015-12-19T06:00:01.000Z,Historian bill moves to realise medicinal connais cultivation v MME epilepsy,Gall bladder,Digestive diseases (except cirrhosis),6.78E+17,
2015-12-23T22:27:08.000Z,Historian diseases from scarlet fever to cholera and tuberculosis are making a London comeback,Leukemia,Neoplasms,6.80E+17,
2015-12-23T22:28:46.000Z,Historian Diseases Like Measles and Tuberculosis on the Rise in England,Epilepsy,Neurological disorders,6.80E+17,
2015-12-23T23:17:54.000Z,Historian Diseases Like Measles and Tuberculosis on the Rise in England Historian rise,lung cancer,Neoplasms,6.80E+17,
2015-12-16T22:22:33.000Z,HIV AIDS Now Everyone Benefits From Undetectable Girl Road Suppressing the HIV virus to undetectable levels has long played a,Epilepsy,Neurological disorders,6.77E+17,
Fri Dec 11 08:30:25 +0000 2015,HIV AIDS Status que threatens to detail the progress report says,Peptic ulcer,Digestive diseases (except cirrhosis),6.75E+17,
2015-12-23T23:18:50.000Z,HIV Lids is not even Totally over yet and there s already a new virus Ladies and Gentlemen the Superbug,Alzheimer,Neurological disorders,6.80E+17,
2015-12-16T19:00:27.000Z,HIV News Illinois Biotechnology Industry Organization Announces Horizon Harm Chairman and CEO Timothy P A,Tuberculosis,HIV/AIDS and tuberculosis,6.77E+17,
2015-12-19T02:19:18.000Z,HIV News SHAREHOLDER NOTICE Goldberg Saw of Announces an Going Investigation of Claims against KaloBios Ha,Cardiomyopathy,Cardiovascular and circulatory diseases,6.78E+17,
2015-12-19T23:33:59.000Z,Holiday discount on FDA approved AfibAlert monitor for trial fibrillation patients fig,Leukemia,Neoplasms,6.78E+17,
2015-12-16T16:43:00.000Z,Holy Whistle Armenia Benedict 50G Ragged River All Bladder Health may,Gall bladder,Digestive diseases (except cirrhosis),6.77E+17,
2015-12-23T16:00:27.000Z,Homeless people have diabetes too,Liver cancer,Neoplasms,6.80E+17,
2015-12-24T15:46:33.000Z,hope  of 2 days after the abortion and already got my cut body back In t no cock blocking baby getting in the way of my fun http,Kidney cancer,Neoplasms,6.80E+17,
2015-12-19T23:38:59.000Z,hope  of 20 000 new cases of ovarian cancer per year That s too many Tapping Cancer Farmers team,Parkinsons disease,Neurological disorders,6.78E+17,
2015-12-26T16:01:42.000Z,Hope van echo a big boss both are cancers K lung cancer to e liver,HIV/AIDS,HIV/AIDS and tuberculosis,6.81E+17,
2015-12-26T20:06:50.000Z,Horrified pneumoconiosis back Black day for mining industry as deadly disease surfaces via,Liver cancer,Neoplasms,6.81E+17,
2015-12-21T20:00:34.000Z,Hotel Williams on Multiple Sclerosis Multiple Sclerosis News Today,Hypertensive heart disease,Cardiovascular and circulatory diseases,6.79E+17,
2015-12-24T15:36:39.000Z,how to get diabetes after eating 20 of these,ischemic stroke,Cardiovascular and circulatory diseases,6.80E+17,
Sun Dec 13 02:54:07 +0000 2015,However on route to overtake assimilation your intellectual faculty whereby yours ischaemic heart disease to,Leukemia,Neoplasms,6.76E+17,
2015-12-17T15:44:50.000Z,HPV prevalence and type distribution in cervical cancer and premalignant lesions of the croix A tumorimmuno,Non-Hodgkin lymphoma,Neoplasms,6.78E+17,
Fri Dec 11 21:00:56 +0000 2015,HPV vaccine Millions of women are missing out on the chance to prevent cervical cancer,Pancreatitis,Digestive diseases (except cirrhosis),6.75E+17,
2015-12-23T21:50:03.000Z,HPV West Seats Cap To Spot Cervical Cancer conscioushealthsolutions health,Tuberculosis,HIV/AIDS and tuberculosis,6.80E+17,
2015-12-23T22:24:10.000Z,HRC launched new efforts to tackle HIV amp AIDS,HIV/AIDS,HIV/AIDS and tuberculosis,6.80E+17,
2015-12-22T20:58:21.000Z,Human IGF1 pro forms induce breast cancer cell proliferation via the IGF1 receptor,Kidney cancer,Neoplasms,6.79E+17,
2015-12-26T20:49:28.000Z,Hundreds potentially exposed to tuberculosis at hospital,multiple sclerosis,Neurological disorders,6.81E+17,
2015-12-26T21:27:45.000Z,Hundreds potentially exposed to tuberculosis at hospital via,Prostate cancer,Neoplasms,6.81E+17,
2015-12-19T14:08:12.000Z,Hung Cancer Round To He Genetically Different Disease In Young And Older Patients Science 2 0 cancer,Pancreatitis,Digestive diseases (except cirrhosis),6.78E+17,
2015-12-16T22:40:35.000Z,Hyperoside induces proptosis and inhibit growth in pancreatic cancer via All 2 family and of B signaling,lung cancer,Neoplasms,6.77E+17,
2015-12-16T12:05:30.000Z,Hyperoside induces proptosis and inhibit growth in pancreatic cancer via All 2 family and of B signaling pathway,Parkinsons disease,Neurological disorders,6.77E+17,
2015-12-19T23:09:06.000Z,Hypertension is a major risk factor for stroke aneurysms of the arteries peripheral arterial disease and chronic kidney disease,Pancreatitis,Digestive diseases (except cirrhosis),6.78E+17,
2015-12-25T22:06:24.000Z,Hypertension puts strain on the heart possibly leading to hypertensive heart disease and coronary artery disease,Peptic ulcer,Digestive diseases (except cirrhosis),6.81E+17,
2015-12-19T21:26:35.000Z,Hypertrophic cardiomyopathy HCM is a common heart disease in all cats and is most commonly genetic in cause Ragdoll,Tuberculosis,HIV/AIDS and tuberculosis,6.78E+17,
Sat Dec 12 21:47:01 +0000 2015,Hypertrophic cardiomyopathy HCM is a genetic disorder that has a variable presentation and carries a high incidence of sudden death,Liver cancer,Neoplasms,6.76E+17,
2015-12-26T23:35:08.000Z,Hypoxia promotes C X C chemokine receptor type 4 expression through microRNA 150 in pancreatic cancer cells,Parkinsons disease,Neurological disorders,6.81E+17,
2015-12-19T21:27:08.000Z,I added a video to a playlist BLEEDING PEPTIC ULCER amp OPERATIONS,Epilepsy,Neurological disorders,6.78E+17,
Sat Dec 12 12:59:42 +0000 2015,I added a video to a playlist New developments in the treatment of non Hodgkin lympho Or God,Cervical cancer,Neoplasms,6.76E+17,
Sat Dec 12 13:21:04 +0000 2015,I added a video to a playlist On Hodgkin s Lymphoma Survivor Late Haleblian,Pancreatitis,Digestive diseases (except cirrhosis),6.76E+17,
2015-12-23T20:03:27.000Z,I added a video to a playlist septic ulcer and choice of operation,ischemic stroke,Cardiovascular and circulatory diseases,6.80E+17,
2015-12-26T21:56:48.000Z,I am designing a webster to educate the masses on kidney disease May I write a blow post on your experiences,multiple sclerosis,Neurological disorders,6.81E+17,
2015-12-19T23:28:29.000Z,I am losing a friend soon Diagnosed with liver cancer He refuses to say timeline Must that its happening and soon st time dealing with,multiple sclerosis,Neurological disorders,6.78E+17,
2015-12-23T23:42:11.000Z,i ate so much i had to take paracetemol for the pain and now i have asthma christmas,HIV/AIDS,HIV/AIDS and tuberculosis,6.80E+17,
2015-12-19T22:14:12.000Z,I can handle a lot of pains but lung pain or pancreatitis is a fucking deal breakers,kidney disease,"Diabetes, urogenital, blood, and endocrine diseases",6.78E+17,
